transaction_id,customer_id,amount,transaction_date
TX_0000055,CUST_00885,425.28,2023-07-21
TX_0000056,CUST_00298,396.02,2023-12-07
TX_0000057,CUST_00306,225.95,2023-06-03
TX_0000058,CUST_00361,199.19,2023-07-05
TX_0000059,CUST_01058,257.67,2023-08-20
TX_0000060,CUST_00996,136.02,2023-10-22
TX_0000061,CUST_01162,4.81,2023-06-26
TX_0000062,CUST_00334,11.22,2023-08-05
TX_0000063,CUST_00975,416.27,2023-06-25
TX_0000064,CUST_00921,367.19,2023-08-06
TX_0000065,CUST_00739,167.36,2023-10-21
TX_0000066,CUST_00527,158.95,2023-09-14
TX_0000067,CUST_00248,162.57,2023-11-21
TX_0000068,CUST_00407,279.96,2023-11-14
TX_0000069,CUST_01102,70.76,2023-12-17
TX_0000070,CUST_00582,164.66,2023-11-20
TX_0000071,CUST_01045,233.5,2023-12-06
TX_0000072,CUST_00915,442.61,2023-09-06
TX_0000073,CUST_00586,221.15,2023-07-08
TX_0000074,CUST_00343,313.1,2023-08-26
TX_0000075,CUST_00863,308.26,2023-10-25
TX_0000076,CUST_00828,421.43,2023-06-19
TX_0000077,CUST_00162,64.24,2023-07-29
TX_0000078,CUST_00642,144.78,2023-08-14
TX_0000079,CUST_00547,294.8,2023-09-10
TX_0000080,CUST_00555,441.6,2023-12-17
TX_0000081,CUST_00743,368.91,2023-10-12
TX_0000082,CUST_00922,195.27,2023-07-18
TX_0000083,CUST_00047,45.02,2023-07-31
TX_0000084,CUST_00515,469.03,2023-11-27
TX_0000085,CUST_00163,89.5,2023-09-10
TX_0000086,CUST_00210,29.69,2023-09-30
TX_0000087,CUST_01123,7.99,2023-12-15
TX_0000088,CUST_00813,252.47,2023-06-22
TX_0000089,CUST_00212,116.48,2023-07-10
TX_0000090,CUST_00172,320.51,2023-09-08
TX_0000091,CUST_00633,99.27,2023-12-06
TX_0000092,CUST_00581,210.44,2023-07-03
TX_0000093,CUST_00268,253.91,2023-07-14
TX_0000094,CUST_00058,-1.72,2023-08-31
TX_0000095,CUST_00666,429.41,2023-09-28
TX_0000096,CUST_01107,466.13,2023-10-19
TX_0000097,CUST_00911,50.26,2023-11-26
TX_0000098,CUST_01104,72.06,2023-10-31
TX_0000099,CUST_00935,308.14,2023-11-10
TX_0000100,CUST_01155,206.19,2023-11-11
TX_0000101,CUST_01093,141.02,2023-08-28
TX_0000102,CUST_00986,260.63,2023-06-23
TX_0000103,CUST_00904,140.09,2023-09-14
TX_0000104,CUST_00532,60.97,2023-06-03
TX_0000105,CUST_00000,252.12,2023-12-12
TX_0000106,CUST_00279,158.82,2023-09-29
TX_0000107,CUST_01095,-15.68,2023-10-04
TX_0000108,CUST_00977,135.8,2023-12-14
TX_0000109,CUST_00881,394.94,2023-10-31
TX_0000110,CUST_00473,394.32,2023-10-19
TX_0000111,CUST_00765,78.06,2023-10-22
TX_0000112,CUST_00895,185.27,2023-07-12
TX_0000113,CUST_00798,410.78,2023-07-27
TX_0000114,CUST_00538,21.19,2023-11-08
TX_0000115,CUST_00490,248.64,2023-11-04
TX_0000116,CUST_00556,128.03,2023-12-08
TX_0000117,CUST_01089,400.58,2023-09-14
TX_0000118,CUST_00385,423.81,2023-07-17
TX_0000119,CUST_00279,130.59,2023-11-11
TX_0000120,CUST_00932,301.22,2023-08-09
TX_0000121,CUST_01007,77.65,2023-06-05
TX_0000122,CUST_00311,5.81,2023-10-15
TX_0000123,CUST_00045,76.69,2023-06-27
TX_0000124,CUST_00577,119.98,2023-12-01
TX_0000125,CUST_00897,358.1,2023-07-30
TX_0000126,CUST_00184,58.36,2023-10-05
TX_0000127,CUST_00444,157.79,2023-08-19
TX_0000128,CUST_01020,498.94,2023-09-27
TX_0000129,CUST_00064,151.73,2023-12-10
TX_0000130,CUST_00299,9.14,2023-12-16
TX_0000131,CUST_00803,17.12,2023-09-29
TX_0000132,CUST_00371,79.94,2023-08-04
TX_0000133,CUST_00781,410.69,2023-07-02
TX_0000134,CUST_00509,180.09,2023-09-22
TX_0000135,CUST_00506,363.56,2023-06-09
TX_0000136,CUST_00407,219.63,2023-12-15
TX_0000137,CUST_00192,250.99,2023-07-24
TX_0000138,CUST_00968,182.34,2023-08-19
TX_0000139,CUST_00661,62.48,2023-12-04
TX_0000140,CUST_00086,367.26,2023-10-19
TX_0000141,CUST_01066,43.51,2023-10-02
TX_0000142,CUST_00611,83.34,2023-06-14
TX_0000143,CUST_00446,486.1,2023-07-31
TX_0000144,CUST_00889,148.75,2023-07-13
TX_0000145,CUST_00565,284.04,2023-09-10
TX_0000146,CUST_00497,-15.36,2023-06-11
TX_0000147,CUST_01190,387.41,2023-09-30
TX_0000148,CUST_00317,173.13,2023-06-23
TX_0000149,CUST_00509,62.0,2023-06-24
TX_0000150,CUST_00693,464.04,2023-12-12
TX_0000151,CUST_00122,11.08,2023-11-13
TX_0000152,CUST_00315,344.69,2023-06-28
TX_0000153,CUST_00257,233.68,2023-08-21
TX_0000154,CUST_01143,390.05,2023-12-11
TX_0000155,CUST_00711,398.87,2023-09-21
TX_0000156,CUST_00395,-8.9,2023-09-05
TX_0000157,CUST_00733,356.69,2023-08-04
TX_0000158,CUST_00080,232.36,2023-09-21
TX_0000159,CUST_01144,133.25,2023-11-26
TX_0000160,CUST_01003,78.68,2023-07-18
TX_0000161,CUST_01113,160.79,2023-12-05
TX_0000162,CUST_00959,123.17,2023-11-01
TX_0000163,CUST_01135,63.38,2023-10-14
TX_0000164,CUST_00317,213.68,2023-08-07
TX_0000165,CUST_01109,170.9,2023-06-01
TX_0000166,CUST_01036,177.1,2023-07-18
TX_0000167,CUST_00038,302.26,2023-09-02
TX_0000168,CUST_00489,146.76,2023-06-17
TX_0000169,CUST_01103,405.91,2023-07-19
TX_0000170,CUST_01073,335.28,2023-12-14
TX_0000171,CUST_01129,60.15,2023-08-12
TX_0000172,CUST_00660,193.1,2023-08-22
TX_0000173,CUST_00226,30.05,2023-11-16
TX_0000174,CUST_00136,2.76,2023-07-04
TX_0000175,CUST_00365,434.22,2023-07-22
TX_0000176,CUST_00219,232.39,2023-06-26
TX_0000177,CUST_00065,276.93,2023-09-08
TX_0000178,CUST_01003,253.43,2023-11-27
TX_0000179,CUST_00524,5.52,2023-07-27
TX_0000180,CUST_00145,-13.2,2023-07-24
TX_0000181,CUST_01006,462.77,2023-06-21
TX_0000182,CUST_00958,396.53,2023-06-16
TX_0000183,CUST_00739,270.17,2023-09-15
TX_0000184,CUST_00755,393.01,2023-06-15
TX_0000185,CUST_00544,255.09,2023-12-05
TX_0000186,CUST_00144,413.92,2023-06-20
TX_0000187,CUST_00442,479.51,2023-06-25
TX_0000188,CUST_00207,357.09,2023-10-15
TX_0000189,CUST_00789,78.52,2023-10-13
TX_0000190,CUST_00509,276.41,2023-07-16
TX_0000191,CUST_01143,369.58,2023-09-15
TX_0000192,CUST_00216,378.47,2023-10-26
TX_0000193,CUST_00733,330.74,2023-11-27
TX_0000194,CUST_00874,439.07,2023-07-13
TX_0000195,CUST_00369,265.98,2023-10-08
TX_0000196,CUST_00691,321.92,2023-10-15
TX_0000197,CUST_00907,465.43,2023-08-20
TX_0000198,CUST_01126,495.56,2023-08-23
TX_0000199,CUST_00761,194.42,2023-11-10
TX_0000200,CUST_00881,409.6,2023-08-22
TX_0000201,CUST_00492,272.84,2023-07-25
TX_0000202,CUST_00768,378.17,2023-12-08
TX_0000203,CUST_00520,167.2,2023-09-24
TX_0000204,CUST_00916,479.11,2023-06-01
TX_0000205,CUST_00070,491.14,2023-10-31
TX_0000206,CUST_00033,249.16,2023-08-17
TX_0000207,CUST_00013,136.17,2023-07-27
TX_0000208,CUST_00439,424.97,2023-06-06
TX_0000209,CUST_00565,457.94,2023-10-09
TX_0000210,CUST_01139,276.75,2023-10-25
TX_0000211,CUST_00316,29.03,2023-09-26
TX_0000212,CUST_00728,61.18,2023-08-07
TX_0000213,CUST_00751,442.61,2023-08-03
TX_0000214,CUST_00477,113.25,2023-08-16
TX_0000215,CUST_00188,276.65,2023-10-24
TX_0000216,CUST_00445,361.82,2023-12-03
TX_0000217,CUST_00664,392.31,2023-07-15
TX_0000218,CUST_00999,409.37,2023-11-24
TX_0000219,CUST_01180,406.15,2023-06-25
TX_0000220,CUST_00615,-0.57,2023-10-26
TX_0000221,CUST_00781,20.81,2023-06-15
TX_0000222,CUST_00684,160.92,2023-09-20
TX_0000223,CUST_00853,463.73,2023-07-01
TX_0000224,CUST_00464,368.79,2023-11-02
TX_0000225,CUST_00023,309.62,2023-11-09
TX_0000226,CUST_00783,8.15,2023-10-13
TX_0000227,CUST_00084,146.04,2023-10-23
TX_0000228,CUST_00306,149.95,2023-11-26
TX_0000229,CUST_00452,59.66,2023-11-20
TX_0000230,CUST_00804,484.94,2023-12-10
TX_0000231,CUST_01178,242.46,2023-07-27
TX_0000232,CUST_00884,130.69,2023-09-09
TX_0000233,CUST_00303,48.74,2023-06-22
TX_0000234,CUST_00974,277.15,2023-06-13
TX_0000235,CUST_01122,187.58,2023-06-22
TX_0000236,CUST_00816,240.95,2023-12-16
TX_0000237,CUST_00267,376.26,2023-10-02
TX_0000238,CUST_01145,83.02,2023-09-10
TX_0000239,CUST_01170,81.97,2023-11-05
TX_0000240,CUST_01073,108.05,2023-06-19
TX_0000241,CUST_00545,383.92,2023-08-22
TX_0000242,CUST_01179,26.59,2023-11-19
TX_0000243,CUST_00847,200.24,2023-08-29
TX_0000244,CUST_00390,146.78,2023-10-31
TX_0000245,CUST_00049,380.23,2023-07-14
TX_0000246,CUST_00716,300.43,2023-09-22
TX_0000247,CUST_00298,209.04,2023-07-30
TX_0000248,CUST_00408,336.39,2023-07-10
TX_0000249,CUST_00175,38.43,2023-06-14
TX_0000250,CUST_00497,473.45,2023-07-08
TX_0000251,CUST_00589,-12.86,2023-11-25
TX_0000252,CUST_00227,138.66,2023-09-29
TX_0000253,CUST_00046,152.58,2023-12-07
TX_0000254,CUST_01101,90.18,2023-10-18
TX_0000255,CUST_01071,370.18,2023-10-19
TX_0000256,CUST_00989,303.98,2023-07-07
TX_0000257,CUST_00037,175.84,2023-11-17
TX_0000258,CUST_01078,2.61,2023-07-14
TX_0000259,CUST_00123,127.69,2023-11-26
TX_0000260,CUST_00555,7.6,2023-11-15
TX_0000261,CUST_00017,14.63,2023-11-17
TX_0000262,CUST_00555,324.75,2023-11-16
TX_0000263,CUST_00737,429.43,2023-06-05
TX_0000264,CUST_00599,431.05,2023-11-14
TX_0000265,CUST_00791,100.21,2023-09-06
TX_0000266,CUST_01041,487.84,2023-06-26
TX_0000267,CUST_00646,232.02,2023-10-31
TX_0000268,CUST_01088,25.77,2023-07-21
TX_0000269,CUST_01025,482.73,2023-10-22
TX_0000270,CUST_00044,0.67,2023-10-14
TX_0000271,CUST_00624,153.46,2023-09-09
TX_0000272,CUST_00321,-10.45,2023-11-23
TX_0000273,CUST_00720,164.8,2023-08-17
TX_0000274,CUST_00483,497.92,2023-10-07
TX_0000275,CUST_00564,402.18,2023-11-08
TX_0000276,CUST_00527,436.91,2023-06-08
TX_0000277,CUST_01136,473.54,2023-07-28
TX_0000278,CUST_00310,157.73,2023-09-09
TX_0000279,CUST_00281,25.65,2023-09-06
TX_0000280,CUST_01066,479.51,2023-11-04
TX_0000281,CUST_00465,197.01,2023-10-25
TX_0000282,CUST_00312,201.76,2023-08-19
TX_0000283,CUST_00674,213.57,2023-07-04
TX_0000284,CUST_00423,319.29,2023-10-27
TX_0000285,CUST_01108,335.71,2023-07-22
TX_0000286,CUST_00282,140.68,2023-11-28
TX_0000287,CUST_01072,452.97,2023-09-19
TX_0000288,CUST_00297,321.24,2023-10-23
TX_0000289,CUST_00323,145.1,2023-10-21
TX_0000290,CUST_01091,473.27,2023-07-01
TX_0000291,CUST_00377,145.15,2023-07-08
TX_0000292,CUST_00060,378.03,2023-09-14
TX_0000293,CUST_00842,137.74,2023-12-08
TX_0000294,CUST_00560,59.02,2023-07-19
TX_0000295,CUST_00218,48.4,2023-06-07
TX_0000296,CUST_00546,294.91,2023-11-04
TX_0000297,CUST_00472,290.11,2023-07-30
TX_0000298,CUST_00053,166.82,2023-11-24
TX_0000299,CUST_00976,49.73,2023-11-02
TX_0000300,CUST_00960,350.25,2023-09-04
TX_0000301,CUST_00376,423.11,2023-10-04
TX_0000302,CUST_00970,51.51,2023-07-20
TX_0000303,CUST_00463,-3.24,2023-12-13
TX_0000304,CUST_00030,461.23,2023-09-14
TX_0000305,CUST_00455,366.03,2023-07-22
TX_0000306,CUST_00418,14.39,2023-09-21
TX_0000307,CUST_01003,337.69,2023-09-26
TX_0000308,CUST_00505,202.33,2023-12-16
TX_0000309,CUST_00085,296.12,2023-09-06
TX_0000310,CUST_00640,184.96,2023-12-08
TX_0000311,CUST_01171,288.78,2023-10-13
TX_0000312,CUST_00078,250.74,2023-09-24
TX_0000313,CUST_00935,410.05,2023-06-11
TX_0000314,CUST_00503,249.73,2023-09-10
TX_0000315,CUST_00080,270.0,2023-10-11
TX_0000316,CUST_00100,78.72,2023-09-21
TX_0000317,CUST_00815,439.89,2023-12-16
TX_0000318,CUST_00585,219.9,2023-09-17
TX_0000319,CUST_00602,298.83,2023-06-14
TX_0000320,CUST_01058,449.91,2023-09-27
TX_0000321,CUST_00925,27.03,2023-10-07
TX_0000322,CUST_00231,73.48,2023-10-28
TX_0000323,CUST_01119,50.36,2023-09-14
TX_0000324,CUST_00662,214.46,2023-07-16
TX_0000325,CUST_00929,286.96,2023-11-30
TX_0000326,CUST_00413,438.93,2023-06-24
TX_0000327,CUST_00512,148.52,2023-11-14
TX_0000328,CUST_00335,353.55,2023-07-02
TX_0000329,CUST_00186,39.37,2023-09-24
TX_0000330,CUST_00743,24.36,2023-11-29
TX_0000331,CUST_00786,357.97,2023-10-09
TX_0000332,CUST_00327,176.91,2023-09-06
TX_0000333,CUST_00089,379.5,2023-08-25
TX_0000334,CUST_01158,433.08,2023-07-09
TX_0000335,CUST_00332,431.79,2023-07-16
TX_0000336,CUST_00105,198.18,2023-08-19
TX_0000337,CUST_00913,130.17,2023-07-17
TX_0000338,CUST_00240,447.24,2023-07-22
TX_0000339,CUST_00007,303.73,2023-08-04
TX_0000340,CUST_00025,218.49,2023-10-06
TX_0000341,CUST_01113,399.88,2023-11-03
TX_0000342,CUST_01010,103.7,2023-10-29
TX_0000343,CUST_00974,215.94,2023-09-22
TX_0000344,CUST_00162,292.63,2023-06-02
TX_0000345,CUST_00501,438.73,2023-08-11
TX_0000346,CUST_01141,406.46,2023-07-24
TX_0000347,CUST_00100,76.12,2023-06-15
TX_0000348,CUST_00714,-0.91,2023-06-09
TX_0000349,CUST_01183,415.77,2023-08-16
TX_0000350,CUST_00678,458.6,2023-06-13
TX_0000351,CUST_00223,196.82,2023-07-16
TX_0000352,CUST_00330,329.49,2023-11-04
TX_0000353,CUST_01172,389.4,2023-07-16
TX_0000354,CUST_00932,369.65,2023-09-01
TX_0000355,CUST_00073,28.43,2023-08-16
TX_0000356,CUST_00661,171.66,2023-09-06
TX_0000357,CUST_00138,374.39,2023-10-19
TX_0000358,CUST_00132,132.27,2023-07-05
TX_0000359,CUST_00249,341.2,2023-08-10
TX_0000360,CUST_00674,254.07,2023-10-13
TX_0000361,CUST_00429,341.83,2023-11-04
TX_0000362,CUST_00119,36.84,2023-12-04
TX_0000363,CUST_01083,493.34,2023-10-02
TX_0000364,CUST_00588,202.07,2023-08-21
TX_0000365,CUST_00531,253.2,2023-11-07
TX_0000366,CUST_00724,462.09,2023-11-05
TX_0000367,CUST_01152,238.13,2023-12-04
TX_0000368,CUST_01019,236.1,2023-07-17
TX_0000369,CUST_00476,348.47,2023-07-20
TX_0000370,CUST_00003,41.47,2023-09-28
TX_0000371,CUST_00241,363.48,2023-07-24
TX_0000372,CUST_00849,195.3,2023-08-25
TX_0000373,CUST_00716,271.42,2023-11-11
TX_0000374,CUST_00434,-14.13,2023-07-22
TX_0000375,CUST_00576,112.3,2023-06-18
TX_0000376,CUST_00630,136.15,2023-10-19
TX_0000377,CUST_00663,378.86,2023-06-30
TX_0000378,CUST_00682,157.51,2023-12-03
TX_0000379,CUST_01165,300.32,2023-06-08
TX_0000380,CUST_00359,80.89,2023-08-26
TX_0000381,CUST_00981,456.4,2023-06-10
TX_0000382,CUST_00278,230.38,2023-11-08
TX_0000383,CUST_00943,443.87,2023-10-16
TX_0000384,CUST_00686,220.48,2023-09-14
TX_0000385,CUST_00114,414.25,2023-08-16
TX_0000386,CUST_01157,356.98,2023-08-20
TX_0000387,CUST_01137,258.66,2023-07-24
TX_0000388,CUST_01182,336.46,2023-08-30
TX_0000389,CUST_00135,484.2,2023-08-11
TX_0000390,CUST_00063,156.36,2023-09-05
TX_0000391,CUST_01094,418.05,2023-10-25
TX_0000392,CUST_00797,77.44,2023-06-30
TX_0000393,CUST_00631,346.74,2023-08-20
TX_0000394,CUST_00064,121.18,2023-06-23
TX_0000395,CUST_01017,436.07,2023-09-04
TX_0000396,CUST_00925,411.32,2023-08-17
TX_0000397,CUST_00442,253.05,2023-07-15
TX_0000398,CUST_00229,174.59,2023-06-10
TX_0000399,CUST_00413,454.94,2023-09-22
TX_0000400,CUST_01036,-7.03,2023-10-02
TX_0000401,CUST_01024,60.12,2023-08-27
TX_0000402,CUST_00990,360.87,2023-10-13
TX_0000403,CUST_00635,383.28,2023-07-07
TX_0000404,CUST_00201,407.51,2023-10-11
TX_0000405,CUST_00271,86.7,2023-06-10
TX_0000406,CUST_00940,181.55,2023-10-12
TX_0000407,CUST_00237,-17.86,2023-06-12
TX_0000408,CUST_00178,153.31,2023-06-12
TX_0000409,CUST_00211,250.7,2023-11-16
TX_0000410,CUST_00639,-8.31,2023-12-12
TX_0000411,CUST_00639,312.2,2023-07-24
TX_0000412,CUST_00657,84.29,2023-08-13
TX_0000413,CUST_00566,256.78,2023-12-15
TX_0000414,CUST_00903,328.98,2023-08-09
TX_0000415,CUST_00305,61.9,2023-06-30
TX_0000416,CUST_00031,478.31,2023-10-22
TX_0000417,CUST_01052,33.24,2023-10-17
TX_0000418,CUST_00717,265.67,2023-08-09
TX_0000419,CUST_00289,470.5,2023-08-12
TX_0000420,CUST_01175,107.31,2023-06-19
TX_0000421,CUST_00637,298.9,2023-08-26
TX_0000422,CUST_01107,210.7,2023-07-04
TX_0000423,CUST_00059,224.78,2023-11-20
TX_0000424,CUST_00103,35.08,2023-06-14
TX_0000425,CUST_00176,201.76,2023-07-16
TX_0000426,CUST_00913,300.48,2023-08-19
TX_0000427,CUST_00680,405.07,2023-11-30
TX_0000428,CUST_01092,20.84,2023-12-11
TX_0000429,CUST_00953,275.25,2023-06-24
TX_0000430,CUST_00959,30.58,2023-08-19
TX_0000431,CUST_00953,224.68,2023-07-28
TX_0000432,CUST_00294,427.77,2023-11-05
TX_0000433,CUST_00528,454.69,2023-09-09
TX_0000434,CUST_00375,343.8,2023-11-18
TX_0000435,CUST_00676,390.16,2023-08-23
TX_0000436,CUST_00928,233.5,2023-06-17
TX_0000437,CUST_00973,38.7,2023-10-01
TX_0000438,CUST_00944,419.8,2023-08-12
TX_0000439,CUST_00713,294.31,2023-07-03
TX_0000440,CUST_01040,33.52,2023-11-30
TX_0000441,CUST_00219,149.45,2023-11-14
TX_0000442,CUST_00145,392.06,2023-10-15
TX_0000443,CUST_00944,188.42,2023-09-14
TX_0000444,CUST_00488,302.85,2023-10-19
TX_0000445,CUST_00325,486.42,2023-09-07
TX_0000446,CUST_00135,157.17,2023-11-25
TX_0000447,CUST_00882,387.84,2023-09-20
TX_0000448,CUST_01161,389.41,2023-10-18
TX_0000449,CUST_00483,70.0,2023-11-19
TX_0000450,CUST_00159,364.47,2023-11-30
TX_0000451,CUST_01175,415.11,2023-06-30
TX_0000452,CUST_00948,149.2,2023-06-25
TX_0000453,CUST_00911,71.61,2023-09-12
TX_0000454,CUST_00142,291.09,2023-11-23
TX_0000455,CUST_00776,150.25,2023-11-13
TX_0000456,CUST_00125,27.08,2023-07-06
TX_0000457,CUST_01189,449.69,2023-11-10
TX_0000458,CUST_00000,373.68,2023-11-17
TX_0000459,CUST_00305,215.55,2023-08-14
TX_0000460,CUST_00798,300.1,2023-09-23
TX_0000461,CUST_00400,86.94,2023-08-21
TX_0000462,CUST_00613,276.54,2023-11-21
TX_0000463,CUST_00623,457.62,2023-09-20
TX_0000464,CUST_00705,494.95,2023-10-28
TX_0000465,CUST_00016,297.98,2023-10-09
TX_0000466,CUST_00827,420.77,2023-08-15
TX_0000467,CUST_00127,172.0,2023-10-19
TX_0000468,CUST_00108,-19.56,2023-10-22
TX_0000469,CUST_00735,37.04,2023-08-12
TX_0000470,CUST_00063,102.33,2023-11-27
TX_0000471,CUST_00807,305.11,2023-11-30
TX_0000472,CUST_00783,191.14,2023-09-20
TX_0000473,CUST_01116,89.83,2023-07-15
TX_0000474,CUST_00972,52.32,2023-10-21
TX_0000475,CUST_00787,418.53,2023-09-01
TX_0000476,CUST_00854,60.22,2023-11-19
TX_0000477,CUST_00257,49.82,2023-06-19
TX_0000478,CUST_00032,54.88,2023-10-03
TX_0000479,CUST_00894,486.99,2023-07-05
TX_0000480,CUST_00173,51.35,2023-09-15
TX_0000481,CUST_00933,444.66,2023-11-26
TX_0000482,CUST_00871,304.09,2023-09-25
TX_0000483,CUST_01043,200.54,2023-09-24
TX_0000484,CUST_00787,164.76,2023-07-18
TX_0000485,CUST_00869,294.38,2023-10-26
TX_0000486,CUST_01020,420.34,2023-07-31
TX_0000487,CUST_01027,120.01,2023-10-18
TX_0000488,CUST_01180,170.82,2023-06-10
TX_0000489,CUST_01163,231.3,2023-09-03
TX_0000490,CUST_00231,281.74,2023-11-24
TX_0000491,CUST_00163,53.89,2023-12-05
TX_0000492,CUST_01078,491.46,2023-12-10
TX_0000493,CUST_00572,221.77,2023-06-21
TX_0000494,CUST_01071,442.76,2023-06-23
TX_0000495,CUST_00502,225.67,2023-12-07
TX_0000496,CUST_00159,335.72,2023-10-17
TX_0000497,CUST_01187,142.5,2023-06-14
TX_0000498,CUST_00703,258.22,2023-06-03
TX_0000499,CUST_00960,216.1,2023-09-29
TX_0000500,CUST_01175,361.58,2023-09-16
TX_0000501,CUST_00722,479.5,2023-08-15
TX_0000502,CUST_00592,67.1,2023-11-25
TX_0000503,CUST_00622,358.03,2023-10-23
TX_0000504,CUST_00533,11.94,2023-09-30
TX_0000505,CUST_01184,67.92,2023-06-14
TX_0000506,CUST_00597,400.63,2023-11-07
TX_0000507,CUST_00055,129.14,2023-06-22
TX_0000508,CUST_00259,242.91,2023-12-18
TX_0000509,CUST_00569,111.07,2023-11-05
TX_0000510,CUST_00575,123.11,2023-08-05
TX_0000511,CUST_00029,365.54,2023-11-02
TX_0000512,CUST_00357,453.27,2023-12-07
TX_0000513,CUST_00309,322.76,2023-09-03
TX_0000514,CUST_00359,115.85,2023-11-27
TX_0000515,CUST_00483,232.16,2023-10-14
TX_0000516,CUST_00067,158.28,2023-06-22
TX_0000517,CUST_00297,289.68,2023-07-10
TX_0000518,CUST_01015,371.44,2023-09-14
TX_0000519,CUST_00784,103.73,2023-09-21
TX_0000520,CUST_00342,89.65,2023-12-05
TX_0000521,CUST_00706,8.25,2023-08-07
TX_0000522,CUST_00237,7.31,2023-09-27
TX_0000523,CUST_00816,227.64,2023-09-30
TX_0000524,CUST_01090,101.5,2023-11-22
TX_0000525,CUST_00798,226.79,2023-07-08
TX_0000526,CUST_01086,432.54,2023-06-04
TX_0000527,CUST_00591,462.16,2023-09-23
TX_0000528,CUST_00782,332.82,2023-10-14
TX_0000529,CUST_00084,30.63,2023-10-15
TX_0000530,CUST_00724,477.22,2023-09-19
TX_0000531,CUST_00558,154.18,2023-08-08
TX_0000532,CUST_00201,112.78,2023-10-28
TX_0000533,CUST_00801,219.78,2023-11-20
TX_0000534,CUST_00495,361.84,2023-10-29
TX_0000535,CUST_00399,250.38,2023-11-21
TX_0000536,CUST_00368,142.9,2023-06-03
TX_0000537,CUST_00017,412.48,2023-06-04
TX_0000538,CUST_00842,30.8,2023-06-27
TX_0000539,CUST_00913,162.79,2023-12-03
TX_0000540,CUST_00580,110.99,2023-06-09
TX_0000541,CUST_00048,302.09,2023-06-15
TX_0000542,CUST_00444,474.25,2023-11-11
TX_0000543,CUST_00249,348.2,2023-07-01
TX_0000544,CUST_00176,425.35,2023-07-04
TX_0000545,CUST_00769,321.33,2023-11-13
TX_0000546,CUST_01159,397.66,2023-07-18
TX_0000547,CUST_00227,341.74,2023-08-04
TX_0000548,CUST_00603,222.82,2023-06-20
TX_0000549,CUST_00928,459.8,2023-08-10
TX_0000550,CUST_00874,339.96,2023-11-18
TX_0000551,CUST_00662,113.82,2023-12-17
TX_0000552,CUST_00151,124.19,2023-06-16
TX_0000553,CUST_00783,182.07,2023-06-16
TX_0000554,CUST_00528,476.91,2023-08-07
TX_0000555,CUST_00364,209.1,2023-10-04
TX_0000556,CUST_00410,297.36,2023-07-16
